Frame11,|['195,843,263,976', '412,710,485,855', '129,541,196,674', '295,419,370,569', '216,364,283,498', '513,290,590,444', '198,166,298,367', '307,129,372,259', '195,843,458,1819', '412,710,897,1565', '129,541,325,1215', '295,419,665,988', '216,364,499,862', '513,290,1103,734', '198,166,496,533', '307,129,679,388', '195,843,653,2662', '412,710,1309,2275', '129,541,454,1756', '295,419,960,1407', '513,290,1616,1024', '198,166,694,699', '307,129,986,517', '195,843,848,3505', '412,710,1721,2985', '216,364,931,1590', '513,290,2129,1314', '307,129,1293,646', '195,843,1043,4348', '412,710,2133,3695', '216,364,1147,1954', '513,290,2642,1604', '307,129,1600,775', '195,843,1238,5191', '412,710,2545,4405', '513,290,3155,1894', '198,166,1288,1197', '195,843,1433,6034', '412,710,2957,5115', '513,290,3668,2184', '195,843,1628,6877', '412,710,3369,5825', '513,290,4181,2474']|
Frame12,|['313,449,379,582', '372,320,484,544', '313,449,692,1031', '372,320,856,864']|
Frame13,|['223,84,619,875']|
Frame14,|['236,227,522,799', '236,227,758,1026']|
Frame15,|['308,385,374,517']|
Frame16,|['265,242,532,776', '115,140,189,288', '265,242,797,1018', '115,140,304,428']|
Frame17,|['252,587,319,721', '489,414,581,598', '252,587,571,1308', '489,414,1070,1012']|
Frame18,|['364,596,433,734', '311,280,378,413', '281,0,421,268', '364,596,797,1330', '311,280,689,693', '281,0,702,268', '364,596,1161,1926', '311,280,1000,973', '281,0,983,268']|
Frame19,|['255,640,428,976', '450,787,515,917', '518,638,591,784', '346,221,415,359', '450,787,965,1704', '255,640,683,1616', '518,638,1109,1422', '346,221,761,580', '450,787,1415,2491', '255,640,938,2256', '346,221,1107,801', '450,787,1865,3278', '346,221,1453,1022']|
Frame20,[]
Frame21,|['380,500,474,687', '289,101,362,247', '380,500,854,1187', '289,101,651,348']|
Frame22,|['297,188,617,829']|
Frame23,|['485,242,628,526', '485,242,1113,768']|
Frame24,|['238,276,599,976', '238,276,837,1252', '417,418,1397,1546']|
Frame25,|['422,336,501,494', '337,289,419,453', '422,336,923,830']|
Frame26,|['290,281,378,455', '444,319,510,451', '444,319,954,770', '290,281,668,736']|
Frame27,|['102,555,315,976', '288,393,375,567', '456,389,539,555', '102,555,417,1531', '288,393,663,960', '456,389,995,944', '102,555,519,2086', '288,393,951,1353', '456,389,1451,1333']|
